Latitude	Long 	YSIFNU
38.09055014	-122.0677812	21.39
38.09055438	-122.067773	21.44355764
38.09055938	-122.0677646	20.43023981
38.09056438	-122.0677555	24.0541542
38.09057029	-122.0677444	22.87757214
38.09057695	-122.0677338	21.68940323
38.09058452	-122.0677246	22.45515798
38.09059105	-122.0677173	21.73705394
38.09059695	-122.0677096	21.2288392
38.09060181	-122.0677005	21.54814202
38.09060695	-122.0676921	22.29375072
38.09061542	-122.0676847	22.41129294
38.09062633	-122.067679	20.1302381
38.09063528	-122.0676703	20.51712504
38.09064285	-122.0676623	21.79320794
38.09065118	-122.0676564	21.82243783
38.09066042	-122.0676506	21.83540051
38.09066952	-122.0676456	21.86383069
38.09067966	-122.0676415	21.6992444
38.09068952	-122.0676382	21.66196606
38.09069785	-122.0676376	21.7
38.09070799	-122.0676356	21.7248956
38.09071965	-122.0676315	21.77118749
38.09073042	-122.06763	21.84000957
38.09073951	-122.06763	21.98276628
38.09074875	-122.0676264	22.10650642
38.09075875	-122.0676215	22.27842455
38.09076694	-122.0676182	21.80509966
38.09077271	-122.067614	21.12611452
38.09078041	-122.0676117	24.219483
38.09078771	-122.0676144	25.17165151
38.09079541	-122.0676185	23.80588468
38.09080451	-122.06762	23.15515476
38.09081194	-122.0676182	23.95064753
38.09081951	-122.0676149	24.24875812
38.09082784	-122.0676133	23.66812963
38.09083617	-122.0676142	23.27500015
38.0908418	-122.0676168	23.05827245
38.09084514	-122.0676174	21.92769492
38.09084847	-122.0676158	20.78068782
38.0908518	-122.067615	22.09727179
38.09085333	-122.0676159	25.32536375
38.09085513	-122.0676167	24.10300821
38.09085757	-122.0676149	22.60689631
38.09086103	-122.0676115	22.76843431
38.09086423	-122.0676091	22.80172836
38.0908659	-122.0676065	22.75
38.09086847	-122.0676041	22.74342126
38.0908718	-122.0676015	22.0280278
38.09087693	-122.0675973	22.08278612
38.0908818	-122.0675941	28.22456917
38.09088423	-122.0675906	27.67463605
38.0908886	-122.0675874	23.5933984
38.09089257	-122.067584	21.5974402
38.09089513	-122.0675799	21.41694989
38.09089847	-122.0675774	21.53331208
38.0909018	-122.0675758	21.79806466
38.09090513	-122.0675732	22.23889983
38.09090757	-122.0675708	22.19486156
38.09091103	-122.0675691	21.93143728
38.09091513	-122.0675674	21.89053724
38.09091757	-122.0675658	21.88292078
38.09092013	-122.0675641	21.97853603
38.09092346	-122.0675588	22.01640594
38.090925	-122.0675532	22.05086418
38.0909259	-122.0675499	21.86526817
38.09092756	-122.0675456	21.68110611
38.09092923	-122.0675406	21.74277534
38.09093269	-122.0675365	24.1310628
38.09093859	-122.0675341	21.72611271
